,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.72391075,0.70963144,0.73419297,0.8680585,0.85496897,0.8629401,0.9811825,0.92086077,0.9419069,0.8987899,0.969679,0.8410012,0.9578316,0.980848,0.92975754,0.9182492,0.9453266,1.0226347,1.0389813
1,0.72391075,0.0,0.61236376,0.6463348,0.7660513,0.7549829,0.773188,0.85820186,0.8732405,0.86151004,0.8610371,0.95544887,0.91771847,0.98942167,1.0011959,0.987507,0.91094685,0.9683028,1.0530117,0.99567723
2,0.70963144,0.61236376,0.0,0.5755864,0.66160446,0.6629051,0.64362675,0.78036135,0.8310246,0.8469438,0.7729866,0.96392846,0.9271044,0.9639104,0.97639793,0.98262215,0.9274286,0.9083466,1.0277969,1.0004966
3,0.73419297,0.6463348,0.5755864,0.0,0.6516043,0.6098371,0.68881804,0.7749495,0.76043874,0.8000644,0.80400896,0.9324234,0.87541133,0.91348034,0.8846404,0.9225526,0.9259924,0.87562114,1.0057253,0.9281032
4,0.8680585,0.7660513,0.66160446,0.6516043,0.0,0.55178374,0.6800688,0.75263333,0.7436815,0.7615184,0.71390337,0.89577353,0.8953881,0.90524125,0.88314724,0.9530984,0.9436423,0.92092466,1.0458442,0.9860081
5,0.85496897,0.7549829,0.6629051,0.6098371,0.55178374,0.0,0.60397977,0.6307472,0.67135996,0.7018479,0.6371749,0.8563736,0.8185171,0.85216624,0.8331275,0.90662724,0.9107188,0.8648836,0.99481386,0.9340598
6,0.8629401,0.773188,0.64362675,0.68881804,0.6800688,0.60397977,0.0,0.6253682,0.6684622,0.7426513,0.6789382,0.88199884,0.86366326,0.8658564,0.8559483,0.914583,0.8920952,0.89027977,1.000604,0.9437476
7,0.9811825,0.85820186,0.78036135,0.7749495,0.75263333,0.6307472,0.6253682,0.0,0.67375565,0.74002445,0.7185545,0.9586854,0.9796374,0.91496074,0.90269876,1.0482264,0.98438483,0.93778855,1.0483375,1.00202
8,0.92086077,0.8732405,0.8310246,0.76043874,0.7436815,0.67135996,0.6684622,0.67375565,0.0,0.62904537,0.6461055,0.82122964,0.85092735,0.76479685,0.716371,0.84678334,0.8887117,0.8585728,0.9189051,0.8963873
9,0.9419069,0.86151004,0.8469438,0.8000644,0.7615184,0.7018479,0.7426513,0.74002445,0.62904537,0.0,0.59357643,0.7576588,0.84315544,0.7780119,0.7772771,0.8043624,0.89061475,0.8830595,0.9950368,0.97598255
10,0.8987899,0.8610371,0.7729866,0.80400896,0.71390337,0.6371749,0.6789382,0.7185545,0.6461055,0.59357643,0.0,0.66390425,0.7228408,0.6839543,0.71244234,0.7445518,0.8100374,0.79282147,0.9215817,0.9203189
11,0.969679,0.95544887,0.96392846,0.9324234,0.89577353,0.8563736,0.88199884,0.9586854,0.82122964,0.7576588,0.66390425,0.0,0.7214988,0.70985043,0.72123253,0.72840214,0.8529384,0.85205305,0.9290227,0.971061
12,0.8410012,0.91771847,0.9271044,0.87541133,0.8953881,0.8185171,0.86366326,0.9796374,0.85092735,0.84315544,0.7228408,0.7214988,0.0,0.6339782,0.6990943,0.6900001,0.7017701,0.7187049,0.7726926,0.8165397
13,0.9578316,0.98942167,0.9639104,0.91348034,0.90524125,0.85216624,0.8658564,0.91496074,0.76479685,0.7780119,0.6839543,0.70985043,0.6339782,0.0,0.5518184,0.6864946,0.7466231,0.67238,0.74151385,0.7988192
14,0.980848,1.0011959,0.97639793,0.8846404,0.88314724,0.8331275,0.8559483,0.90269876,0.716371,0.7772771,0.71244234,0.72123253,0.6990943,0.5518184,0.0,0.6768858,0.72984856,0.682032,0.74137473,0.7891306
15,0.92975754,0.987507,0.98262215,0.9225526,0.9530984,0.90662724,0.914583,1.0482264,0.84678334,0.8043624,0.7445518,0.72840214,0.6900001,0.6864946,0.6768858,0.0,0.7237609,0.76576257,0.7822716,0.86618006
16,0.9182492,0.91094685,0.9274286,0.9259924,0.9436423,0.9107188,0.8920952,0.98438483,0.8887117,0.89061475,0.8100374,0.8529384,0.7017701,0.7466231,0.72984856,0.7237609,0.0,0.6603342,0.6849177,0.7565734
17,0.9453266,0.9683028,0.9083466,0.87562114,0.92092466,0.8648836,0.89027977,0.93778855,0.8585728,0.8830595,0.79282147,0.85205305,0.7187049,0.67238,0.682032,0.76576257,0.6603342,0.0,0.62266105,0.6270607
18,1.0226347,1.0530117,1.0277969,1.0057253,1.0458442,0.99481386,1.000604,1.0483375,0.9189051,0.9950368,0.9215817,0.9290227,0.7726926,0.74151385,0.74137473,0.7822716,0.6849177,0.62266105,0.0,0.6456265
19,1.0389813,0.99567723,1.0004966,0.9281032,0.9860081,0.9340598,0.9437476,1.00202,0.8963873,0.97598255,0.9203189,0.971061,0.8165397,0.7988192,0.7891306,0.86618006,0.7565734,0.6270607,0.6456265,0.0
